Liquidity_ItemId;Liquidity_ItemDescription;VersionVersion;TimeDATE;TimeMonth;TimeMonth;Transaction_CurrencyId;Transaction_CurrencyDescription;Company_CodeId;Company_CodeDescription;Amount;AmountUnit
ENERGY_PRICE;Energy Price / MWh;Actual;01/07/2018;201807;20180701;EUR;Euro;1000;BestRun Germany;109.77;EUR
ENERGY_PRICE;Energy Price / MWh;Actual;01/11/2019;201911;20191101;CHF;Swiss Franc;4000;BestRun Switzerland;129.72;CHF
ENERGY_PRICE;Energy Price / MWh;Actual;01/04/2019;201904;20190401;EUR;Euro;1000;BestRun Germany;110.63;EUR
ENERGY_PRICE;Energy Price / MWh;Actual;01/06/2018;201806;20180601;GBP;Pound Sterling;2000;BestRun UK;62.19;GBP
ENERGY_PRICE;Energy Price / MWh;Actual;01/05/2017;201705;20170501;GBP;Pound Sterling;2000;BestRun UK;125.71;GBP
ENERGY_PRICE;Energy Price / MWh;Actual;01/12/2019;201912;20191201;CHF;Swiss Franc;4000;BestRun Switzerland;147.59;CHF
ENERGY_PRICE;Energy Price / MWh;Actual;01/11/2018;201811;20181101;GBP;Pound Sterling;2000;BestRun UK;120.02;GBP
ENERGY_PRICE;Energy Price / MWh;Actual;01/12/2021;202112;20211201;CHF;Swiss Franc;4000;BestRun Switzerland;87.49;CHF
ENERGY_PRICE;Energy Price / MWh;Actual;01/10/2020;202010;20201001;USD;US Dollar;4000;BestRun Switzerland;83.41;USD
ENERGY_PRICE;Energy Price / MWh;Actual;01/01/2022;202201;20220101;EUR;Euro;1000;BestRun Germany;150.25;EUR
ENERGY_PRICE;Energy Price / MWh;Actual;01/11/2022;202211;20221101;GBP;Pound Sterling;4000;BestRun Switzerland;533.59;GBP
ENERGY_PRICE;Energy Price / MWh;Actual;01/12/2022;202212;20221201;EUR;Euro;1000;BestRun Germany;630.14;EUR
ENERGY_PRICE;Energy Price / MWh;Actual;01/03/2019;201903;20190301;EUR;Euro;1000;BestRun Germany;141.61;EUR
