Liquidity_ItemId;Liquidity_ItemDescription;VersionVersion;TimeDATE;TimeMonth;Transaction_CurrencyId;Transaction_CurrencyDescription;Company_CodeId;Company_CodeDescription;Amount;AmountUnit
SUGAR;Sugar Expenses;Actual;01/06/2017;201706;GBP;Pound Sterling;2000;BestRun UK;162635.76;GBP
SUGAR;Sugar Expenses;Actual;01/01/2016;201601;GBP;Pound Sterling;4000;BestRun Switzerland;13119.37;GBP
SUGAR;Sugar Expenses;Actual;01/10/2019;201910;EUR;Euro;4000;BestRun Switzerland;73655.47;EUR
SUGAR;Sugar Expenses;Actual;01/11/2018;201811;USD;US Dollar;4000;BestRun Switzerland;132845.41;USD
SUGAR;Sugar Expenses;Actual;01/04/2021;202104;GBP;Pound Sterling;4000;BestRun Switzerland;19112.47;GBP
SUGAR;Sugar Expenses;Actual;01/03/2016;201603;GBP;Pound Sterling;4000;BestRun Switzerland;14655.19;GBP
SUGAR;Sugar Expenses;Actual;01/05/2021;202105;EUR;Euro;1000;BestRun Germany;482724.13;EUR
SUGAR;Sugar Expenses;Actual;01/11/2022;202211;EUR;Euro;1000;BestRun Germany;0;EUR
SUGAR;Sugar Expenses;Actual;01/01/2021;202101;EUR;Euro;1000;BestRun Germany;368982.18;EUR
SUGAR;Sugar Expenses;Actual;01/12/2016;201612;GBP;Pound Sterling;4000;BestRun Switzerland;29347.04;GBP
SUGAR;Sugar Expenses;Actual;01/02/2020;202002;EUR;Euro;1000;BestRun Germany;254393.23;EUR
SUGAR;Sugar Expenses;Actual;01/05/2018;201805;GBP;Pound Sterling;4000;BestRun Switzerland;30901.83;GBP
SUGAR;Sugar Expenses;Actual;01/11/2019;201911;USD;US Dollar;4000;BestRun Switzerland;71179.62;USD
SUGAR;Sugar Expenses;Actual;01/07/2017;201707;EUR;Euro;4000;BestRun Switzerland;245499.45;EUR
SUGAR;Sugar Expenses;Actual;01/06/2016;201606;CHF;Swiss Franc;4000;BestRun Switzerland;11044.02;CHF
SUGAR;Sugar Expenses;Actual;01/02/2018;201802;CHF;Swiss Franc;4000;BestRun Switzerland;16865.23;CHF
